productId,productCode,productName,netPrice,availabilityUrl,availability,grossPrice,composition,needleStrength
pid-50228,bwkt1340,Katia air alpaca natural colors,5.55,https://www.wollplatz.de/artikel/50228/katia-air-alpaca-natural-colors.html,Noch 11 verfügbar,6.6,,
pid-50942,bwlg1415,Lana Grossa Natural Alpaca Lungo,7.4,https://www.wollplatz.de/artikel/50942/lana-grossa-natural-alpaca-lungo.html,"Nicht mehr verfügbar, sehen Sie sich die Alternativen an",8.8,,
pid-4504,bwdr1026,Drops Puna Natural ,2.98,https://www.wollplatz.de/wolle/drops/drops-puna-natural,Lieferbar,3.55,100% Alpaka,Light
pid-4508,bwdr1026m,Drops Puna Natural Mix,2.98,https://www.wollplatz.de/wolle/drops/drops-puna-natural-mix,Lieferbar,3.55,100% Alpaka,Light
pid-35316,bwdr1030n,Drops Wish Natural,4.45,https://www.wollplatz.de/wolle/drops/drops-wish-naturel,"Nicht mehr verfügbar, sehen Sie sich die Alternativen an",5.3,"50% Alpaka, 33% Baumwolle, 17% Wolle",Super Bulky
pid-46122,bwlg14130,Lana Grossa Natural Alpaca,5.92,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-natural-alpaca-classico,"Nicht mehr verfügbar, sehen Sie sich die Alternativen an",7.04,,
pid-46131,bwlg14120,Lana Grossa Natural Alpaca Pelo,5.92,https://www.wollplatz.de/wolle/lana-grossa/lana-grossa-natural-alpaca-pelo,Noch 1 verfügbar,7.04,,
pid-38895,bwst299,Stylecraft Naturals - Bamboo + Cotton DK,5.74,https://www.wollplatz.de/wolle/stylecraft/stylecraft-naturals-bamboo-plus-cotton-dk,Lieferbar,6.83,,
pid-38939,bwst304,Stylecraft Naturals - Organic Cotton DK,2.89,https://www.wollplatz.de/wolle/stylecraft/stylecraft-naturals-organic-cotton-dk,Lieferbar,3.44,,
pid-47194,bwtrtmc,Trimits Makramee Cord Natural,10.7,https://www.wollplatz.de/artikel/47194/trimits-makramee-cord-natural.html,Lieferbar,12.74,,
