productId,productCode,productName,netPrice,availabilityUrl,availability,grossPrice,composition,needleStrength
pid-49320,bwst330,Stylecraft Baby Sparkle,3.72,https://www.wollplatz.de/artikel/49320/stylecraft-baby-sparkle.html,Lieferbar,4.43,,
pid-18011,bwst284,Stylecraft Bellissima DK,3.51,https://www.wollplatz.de/wolle/stylecraft/stylecraft-bellissima-dk,Lieferbar,4.18,,
pid-48411,bwst324,Stylecraft Fusion,3.72,https://www.wollplatz.de/artikel/48411/stylecraft-fusion.html,Lieferbar,4.43,,
pid-48399,bwst320,Stylecraft Grace,5.62,https://www.wollplatz.de/artikel/48399/stylecraft-grace.html,Lieferbar,6.69,,
pid-48426,bwst325,Stylecraft Head Over Heels - Show Your Pride,7.24,https://www.wollplatz.de/artikel/48426/stylecraft-head-over-heels-show-your-pride.html,Lieferbar,8.62,,
pid-48418,bwst274,Stylecraft Head Over Heels - A Walk in Nature ,7.24,https://www.wollplatz.de/artikel/48418/stylecraft-head-over-heels-a-walk-in-nature.html,Lieferbar,8.62,,
pid-53753,bwst331,Stylecraft Impressions,4.75,https://www.wollplatz.de/wolle/stylecraft/stylecraft-impressions,Lieferbar,5.65,,
pid-49293,bwst327,Stylecraft Love You,4.96,https://www.wollplatz.de/artikel/49293/stylecraft-love-you.html,Lieferbar,5.9,,
pid-48458,bwst321,Stylecraft Merry Go Round XL,5.17,https://www.wollplatz.de/artikel/48458/stylecraft-merry-go-round-xl.html,Lieferbar,6.15,,
pid-48471,bwst326,Stylecraft Recreate Chunky,4.75,https://www.wollplatz.de/artikel/48471/stylecraft-recreate-chunky.html,Lieferbar,5.65,,
pid-37199,gp10001590,Stylecraft Special DK Alle Farben Paket,239.45,https://www.wollplatz.de/pakete/rabattpakete/stylecraft-special-dk-alle-farben-paket,,,,
pid-20733,fntst1961112,Stylecraft Special dk Farbkarte,4.09,https://www.wollplatz.de/wolle/stylecraft/stylecraft-special-dk-farbkarte,"Nicht mehr verfügbar, sehen Sie sich die Alternativen an",4.87,,
pid-53794,bwst333,Stylecraft Special XL Colour code,4.96,https://www.wollplatz.de/wolle/stylecraft/stylecraft-special-xl-colour-code,Lieferbar,5.9,,
pid-53785,bwst332,Stylecraft That Colour Vibe,5.79,https://www.wollplatz.de/wolle/stylecraft/stylecraft-that-colour-vibe,Lieferbar,6.88,,
pid-53780,bwst335,Stylecraft Winter Magic XL,5.99,https://www.wollplatz.de/wolle/stylecraft/stylecraft-winter-magic-xl,Lieferbar,7.13,,
pid-53775,bwst334,Stylecraft Wonderland Chunky,5.99,https://www.wollplatz.de/wolle/stylecraft/stylecraft-wonderland-chunky,Lieferbar,7.13,,
pid-18082,bwst914,Stylecraft Bambino DK,3.51,https://www.wollplatz.de/wolle/stylecraft/stylecraft-bambino-dk,Lieferbar,4.18,,
pid-38812,bwst293,Stylecraft Bambino Prints DK,4.01,https://www.wollplatz.de/wolle/stylecraft/stylecraft-bambino-prints-dk,Lieferbar,4.77,,
pid-17970,bwst265,Stylecraft Batik DK,2.73,https://www.wollplatz.de/wolle/stylecraft/stylecraft-batik-dk,"Nicht mehr verfügbar, sehen Sie sich die Alternativen an",3.25,,
pid-38822,bwst276,Stylecraft Batik Swirl DK,11.61,https://www.wollplatz.de/wolle/stylecraft/stylecraft-batik-swirl-dk,"Nicht mehr verfügbar, sehen Sie sich die Alternativen an",13.82,,
pid-38832,bwst289,Stylecraft Bellissima Chunky,3.64,https://www.wollplatz.de/wolle/stylecraft/stylecraft-bellissima-chunky,Lieferbar,4.33,,
pid-33555,bwst261,Stylecraft Cabaret DK,5.5,https://www.wollplatz.de/wolle/stylecraft/stylecraft-cabaret-dk,Noch 1 verfügbar,6.54,,
pid-40089,bwst317,Stylecraft Charm,13.22,https://www.wollplatz.de/wolle/stylecraft/stylecraft-charm,Lieferbar,15.73,,
pid-48392,bwst318,Stylecraft Colour Twist,5.17,https://www.wollplatz.de/artikel/48392/stylecraft-colour-twist.html,Lieferbar,6.15,,
